State,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,TotalFatalities
Arizona,Pedestrian Fatalities,145,147,122,151,142,155,186,213,236,210,222,248,"2,177"
Arizona,Other Nonoccupant Fatalities,25,27,26,19,32,26,19,37,23,10,14,9,267
Arizona,Other Vehicle Fatalities,52,58,49,46,56,56,55,65,57,67,91,99,751
Arizona,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Highway Fatalities,571,551,560,498,470,550,561,525,520,511,651,693,"6,661"
Arkansas,Passenger Car Fatalities,209,180,212,166,156,181,184,174,166,168,182,206,"2,184"
Arkansas,SUV Fatalities,71,88,75,82,74,91,82,75,75,73,130,123,"1,039"
Arkansas,Pickup Truck Fatalities,113,115,105,86,101,90,107,106,102,103,109,97,"1,234"
Arkansas,Van Fatalities,19,19,9,18,17,27,22,15,5,9,14,22,196
Arkansas,Other Light Truck Fatalities,0,1,1,0,0,0,3,4,4,0,0,0,13
Arkansas,Motorcycle Fatalities,84,64,72,63,61,80,82,69,66,66,81,96,884
Arkansas,Bus Fatalities,2,0,0,0,0,6,0,0,1,0,0,0,9
Arkansas,Large Truck Fatalities,21,23,16,16,9,18,13,26,26,15,24,30,237
Arkansas,Pedalcyclist Fatalities,2,6,6,4,7,3,3,4,4,3,6,10,58
Arkansas,Pedestrian Fatalities,38,42,47,46,37,44,49,47,62,62,82,79,635
Arkansas,Other Nonoccupant Fatalities,1,5,4,6,2,0,4,0,1,2,1,1,27
Arkansas,Other Vehicle Fatalities,11,12,16,13,8,10,14,4,8,9,22,29,156
Arkansas,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Highway Fatalities,"2,720","2,816","2,966","3,107","3,102","3,387","3,837","3,884","3,798","3,719","3,980","4,285","41,601"
California,Passenger Car Fatalities,932,957,"1,048","1,098","1,066","1,170","1,357","1,363","1,291","1,227","1,351","1,413","14,273"
California,SUV Fatalities,301,274,265,241,271,288,307,346,387,358,420,506,"3,964"
California,Pickup Truck Fatalities,256,252,239,239,209,294,272,287,253,290,294,358,"3,243"
California,Van Fatalities,101,73,71,67,79,88,88,91,82,59,70,67,936
California,Other Light Truck Fatalities,0,2,0,12,6,9,6,6,10,10,0,0,61
California,Motorcycle Fatalities,352,415,447,463,522,494,576,578,523,491,549,565,"5,975"
California,Bus Fatalities,4,1,4,11,17,1,20,3,0,1,3,1,66
California,Large Truck Fatalities,23,42,40,38,33,32,54,53,46,58,40,48,507
California,Pedalcyclist Fatalities,100,116,129,147,129,136,155,145,165,143,136,125,"1,626"
California,Pedestrian Fatalities,601,633,653,734,709,819,933,940,978,"1,011","1,013","1,108","10,132"
California,Other Nonoccupant Fatalities,31,36,49,39,36,45,41,40,30,57,49,31,484
California,Other Vehicle Fatalities,16,17,16,20,26,14,18,24,25,19,50,56,301
California,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,Highway Fatalities,450,447,474,482,488,547,608,648,632,597,622,691,"6,686"
Colorado,Passenger Car Fatalities,154,149,150,141,176,163,187,199,177,169,142,170,"1,977"
Colorado,SUV Fatalities,79,66,71,85,70,85,85,104,125,97,119,155,"1,141"
Colorado,Pickup Truck Fatalities,62,67,58,77,56,77,64,78,82,92,73,88,874
Colorado,Van Fatalities,13,18,10,14,6,21,24,27,17,12,17,16,195
Colorado,Other Light Truck Fatalities,0,0,0,0,0,1,0,2,1,1,0,0,5
Colorado,Motorcycle Fatalities,82,78,79,87,94,106,125,103,103,103,138,135,"1,233"
Colorado,Bus Fatalities,0,0,1,0,0,0,1,1,1,2,0,0,6
Colorado,Large Truck Fatalities,10,12,14,11,10,13,20,26,13,20,22,15,186
Colorado,Pedalcyclist Fatalities,8,8,13,12,10,13,16,16,22,20,15,15,168
Colorado,Pedestrian Fatalities,36,45,76,50,63,59,79,92,89,73,87,92,841
Colorado,Other Nonoccupant Fatalities,4,2,2,3,2,5,7,0,1,3,6,2,37
Colorado,Other Vehicle Fatalities,2,2,0,3,1,4,2,0,1,5,3,3,26
Colorado,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,Highway Fatalities,320,221,264,286,248,270,304,281,293,249,299,298,"3,333"
Connecticut,Passenger Car Fatalities,151,103,121,131,109,108,118,118,123,83,108,119,"1,392"
Connecticut,SUV Fatalities,33,21,24,37,18,27,36,25,30,32,42,38,363
Connecticut,Pickup Truck Fatalities,13,12,15,13,7,16,11,17,12,15,13,8,152
Connecticut,Van Fatalities,6,8,5,4,2,4,9,2,7,7,5,4,63
Connecticut,Other Light Truck Fatalities,0,0,0,2,0,0,0,1,0,0,0,0,3
Connecticut,Motorcycle Fatalities,52,37,48,57,55,55,52,57,49,46,57,65,630
Connecticut,Bus Fatalities,2,0,0,0,0,1,1,2,0,1,0,0,7
Connecticut,Large Truck Fatalities,3,4,2,2,4,8,7,4,9,5,3,2,53
Connecticut,Pedalcyclist Fatalities,7,8,4,3,4,3,6,3,1,3,6,3,51
Connecticut,Pedestrian Fatalities,46,26,43,37,47,46,59,49,59,54,59,53,578
Connecticut,Other Nonoccupant Fatalities,2,0,2,1,0,0,5,0,1,1,2,1,15
Connecticut,Other Vehicle Fatalities,4,2,0,0,2,2,1,3,2,2,4,4,26
Connecticut,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,Highway Fatalities,101,99,114,99,124,131,119,119,111,132,116,136,"1,401"
Delaware,Passenger Car Fatalities,41,44,43,30,45,50,42,44,35,45,37,53,509
Delaware,SUV Fatalities,11,6,8,10,13,11,14,14,13,13,26,17,156
Delaware,Pickup Truck Fatalities,12,7,9,6,9,5,8,8,8,8,8,6,94
Delaware,Van Fatalities,3,3,1,4,6,3,8,3,6,6,2,3,48
Delaware,Other Light Truck Fatalities,0,1,0,0,0,0,1,0,0,0,0,0,2
Delaware,Motorcycle Fatalities,8,19,17,20,15,19,14,10,17,18,14,23,194
Delaware,Bus Fatalities,0,0,0,1,3,0,0,0,1,0,0,0,5
Delaware,Large Truck Fatalities,0,0,3,2,4,2,1,0,1,1,0,1,15
Delaware,Pedalcyclist Fatalities,3,0,4,1,3,3,2,5,6,7,3,2,39
Delaware,Pedestrian Fatalities,22,18,27,25,26,36,27,33,23,32,25,29,323
Delaware,Other Nonoccupant Fatalities,1,1,2,0,0,1,1,0,1,1,0,0,8
Delaware,Other Vehicle Fatalities,1,0,0,0,0,1,0,1,0,1,1,2,7
Delaware,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,Highway Fatalities,24,27,15,20,23,23,27,31,31,23,36,41,321
District of Columbia,Passenger Car Fatalities,8,11,1,4,7,6,8,12,7,7,12,8,91
District of Columbia,SUV Fatalities,0,2,0,1,3,0,4,1,1,3,4,2,21
District of Columbia,Pickup Truck Fatalities,0,0,1,0,0,0,0,1,0,0,0,0,2
District of Columbia,Van Fatalities,0,0,2,1,0,0,0,0,0,0,1,0,4
District of Columbia,Other Light Truck Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,Motorcycle Fatalities,1,4,4,3,3,3,6,4,8,3,7,7,53
District of Columbia,Bus Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,Large Truck Fatalities,0,0,0,1,0,0,0,0,0,0,1,1,3
District of Columbia,Pedalcyclist Fatalities,2,1,0,1,1,1,1,2,3,1,1,3,17
District of Columbia,Pedestrian Fatalities,13,8,7,9,9,13,8,11,11,9,10,18,126
District of Columbia,Other Nonoccupant Fatalities,0,1,2,0,0,0,0,0,1,0,0,0,4
District of Columbia,Other Vehicle Fatalities,0,0,0,0,0,0,0,0,0,0,0,2,2
District of Columbia,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Highway Fatalities,"2,444","2,400","2,431","2,403","2,494","2,938","3,176","3,116","3,135","3,185","3,329","3,738","34,789"
Florida,Passenger Car Fatalities,838,715,759,726,768,903,"1,048","1,004",995,974,972,"1,089","10,791"
Florida,SUV Fatalities,260,235,232,219,186,271,262,306,261,307,456,481,"3,476"
Florida,Pickup Truck Fatalities,222,223,193,189,199,213,282,255,252,218,256,292,"2,794"
Florida,Van Fatalities,83,68,74,81,54,73,94,78,73,80,62,68,888
Florida,Other Light Truck Fatalities,0,1,1,2,0,2,8,2,0,6,0,0,22
Florida,Motorcycle Fatalities,396,464,492,485,478,615,586,590,575,592,589,651,"6,513"
Florida,Bus Fatalities,8,2,2,0,2,0,6,0,0,1,0,1,22
Florida,Large Truck Fatalities,27,29,28,25,22,31,37,46,53,52,45,46,441
Florida,Pedalcyclist Fatalities,83,126,124,133,139,150,139,125,161,161,170,197,"1,708"
Florida,Pedestrian Fatalities,486,490,477,499,588,629,653,654,706,714,695,817,"7,408"
Florida,Other Nonoccupant Fatalities,26,31,22,25,31,39,35,34,29,41,22,34,369
Florida,Other Vehicle Fatalities,20,29,31,26,29,25,34,30,30,42,60,61,417
Florida,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Highway Fatalities,"1,247","1,226","1,192","1,180","1,164","1,432","1,556","1,540","1,505","1,492","1,658","1,797","16,989"
Georgia,Passenger Car Fatalities,468,458,453,447,445,561,584,557,541,550,558,613,"6,235"
Georgia,SUV Fatalities,165,171,158,138,144,184,210,217,193,194,252,285,"2,311"
Georgia,Pickup Truck Fatalities,205,206,179,178,174,213,212,234,215,190,227,238,"2,471"
Georgia,Van Fatalities,49,41,38,47,31,50,39,46,44,54,28,46,513
Georgia,Other Light Truck Fatalities,0,2,1,2,1,0,2,2,1,2,0,0,13
Georgia,Motorcycle Fatalities,128,150,134,116,137,152,172,139,154,170,186,185,"1,823"
Georgia,Bus Fatalities,2,1,0,1,0,0,4,3,1,1,0,0,13
Georgia,Large Truck Fatalities,18,27,24,26,28,26,37,46,34,31,38,42,377
Georgia,Pedalcyclist Fatalities,18,14,17,28,19,23,29,15,30,21,32,15,261
Georgia,Pedestrian Fatalities,168,130,167,176,163,194,232,253,262,236,279,306,"2,566"
Georgia,Other Nonoccupant Fatalities,9,3,4,9,4,9,4,7,5,12,0,16,82
Georgia,Other Vehicle Fatalities,20,18,17,16,21,20,31,22,25,28,57,53,328
Georgia,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,Highway Fatalities,113,100,125,102,95,93,120,107,117,108,85,94,"1,259"
Hawaii,Passenger Car Fatalities,32,17,24,21,16,20,40,34,16,21,23,12,276
Hawaii,SUV Fatalities,6,10,11,9,7,7,7,12,3,8,10,8,98
Hawaii,Pickup Truck Fatalities,16,11,16,12,15,9,8,10,15,15,7,10,144
Hawaii,Van Fatalities,1,2,5,0,0,1,3,3,3,1,0,0,19
Hawaii,Other Light Truck Fatalities,0,0,0,0,0,0,5,0,0,1,0,0,6
Hawaii,Motorcycle Fatalities,26,32,40,29,25,26,24,25,34,20,18,33,332
Hawaii,Bus Fatalities,0,1,0,0,0,0,0,0,0,0,0,0,1
Hawaii,Large Truck Fatalities,0,1,0,3,0,0,1,0,0,0,2,1,8
Hawaii,Pedalcyclist Fatalities,3,2,2,2,4,2,0,6,2,4,4,4,35
Hawaii,Pedestrian Fatalities,26,23,26,23,24,25,29,14,42,36,21,25,314
Hawaii,Other Nonoccupant Fatalities,0,0,0,2,4,3,3,1,2,1,0,0,16
Hawaii,Other Vehicle Fatalities,3,1,1,1,0,1,0,2,0,1,0,1,11
Hawaii,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Highway Fatalities,209,167,184,214,186,216,253,245,234,224,214,271,"2,617"
Idaho,Passenger Car Fatalities,81,70,58,77,59,69,74,67,73,66,73,83,850
Idaho,SUV Fatalities,27,20,33,35,29,42,48,52,34,45,36,47,448
Idaho,Pickup Truck Fatalities,42,28,39,45,39,38,59,48,35,44,37,48,502
Idaho,Van Fatalities,6,8,5,3,3,8,8,7,10,10,10,9,87
Idaho,Other Light Truck Fatalities,0,0,0,0,0,6,2,3,0,1,0,0,12
Idaho,Motorcycle Fatalities,28,17,22,25,25,28,22,27,38,25,26,31,314
Idaho,Bus Fatalities,0,0,0,1,0,0,0,0,0,0,0,0,1
Idaho,Large Truck Fatalities,4,5,2,5,7,5,5,14,12,5,10,9,83
Idaho,Pedalcyclist Fatalities,4,0,2,3,2,0,6,2,2,4,3,3,31
Idaho,Pedestrian Fatalities,10,9,13,14,13,8,17,15,17,12,14,21,163
Idaho,Other Nonoccupant Fatalities,0,1,0,2,2,0,2,1,2,2,0,2,14
Idaho,Other Vehicle Fatalities,7,8,8,6,8,12,10,9,11,10,4,19,112
Idaho,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Highway Fatalities,927,918,956,991,924,998,"1,078","1,090","1,035","1,009","1,193","1,334","12,453"
Illinois,Passenger Car Fatalities,397,369,368,404,367,382,406,430,405,380,445,471,"4,824"
Illinois,SUV Fatalities,91,102,102,113,122,127,150,144,127,145,221,240,"1,684"
Illinois,Pickup Truck Fatalities,103,67,87,87,86,92,95,82,89,78,77,91,"1,034"
Illinois,Van Fatalities,34,38,50,46,43,38,45,56,43,40,34,42,509
Illinois,Other Light Truck Fatalities,0,1,1,1,3,4,6,1,4,0,0,0,21
Illinois,Motorcycle Fatalities,131,145,148,152,118,147,154,160,119,138,151,174,"1,737"
Illinois,Bus Fatalities,0,0,1,0,0,2,0,1,5,1,0,0,10
Illinois,Large Truck Fatalities,17,16,10,17,18,12,23,17,31,23,27,26,237
Illinois,Pedalcyclist Fatalities,24,27,29,30,27,26,20,26,24,12,30,34,309
Illinois,Pedestrian Fatalities,115,134,138,124,123,150,147,147,166,173,175,209,"1,801"
Illinois,Other Nonoccupant Fatalities,2,6,3,3,9,2,7,4,1,5,3,11,56
Illinois,Other Vehicle Fatalities,13,12,19,14,11,16,25,18,18,14,29,32,221
Illinois,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,Highway Fatalities,754,751,781,784,745,817,829,916,860,810,897,932,"9,876"
Indiana,Passenger Car Fatalities,327,308,309,321,258,326,331,356,331,303,305,332,"3,807"
Indiana,SUV Fatalities,67,74,79,84,92,115,98,124,101,102,143,165,"1,244"
Indiana,Pickup Truck Fatalities,100,77,83,95,101,88,115,86,87,112,101,81,"1,126"
Indiana,Van Fatalities,53,57,47,45,42,41,34,44,42,38,39,36,518
Indiana,Other Light Truck Fatalities,0,0,0,0,3,1,2,0,0,0,0,0,6
Indiana,Motorcycle Fatalities,111,118,152,115,124,108,101,149,117,127,150,134,"1,506"
Indiana,Bus Fatalities,0,0,2,4,1,0,0,1,1,1,2,0,12
Indiana,Large Truck Fatalities,11,25,19,16,15,16,17,22,26,19,21,34,241
Indiana,Pedalcyclist Fatalities,13,11,15,14,12,12,19,13,22,16,20,21,188
Indiana,Pedestrian Fatalities,62,62,59,76,78,96,87,101,114,73,93,111,"1,012"
Indiana,Other Nonoccupant Fatalities,0,5,9,3,4,2,0,4,5,6,4,5,47
Indiana,Other Vehicle Fatalities,7,6,6,9,11,9,18,14,11,9,16,12,128
Indiana,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,Highway Fatalities,390,360,365,317,322,320,402,330,319,336,343,356,"4,160"
Iowa,Passenger Car Fatalities,160,147,131,130,117,111,152,108,117,102,103,102,"1,480"
Iowa,SUV Fatalities,34,41,52,43,32,42,54,42,38,58,44,55,535
Iowa,Pickup Truck Fatalities,54,63,51,38,53,71,52,53,48,51,42,50,626
Iowa,Van Fatalities,32,13,22,26,17,12,32,17,19,26,18,12,246
Iowa,Other Light Truck Fatalities,0,1,0,0,1,0,0,0,2,0,0,0,4
Iowa,Motorcycle Fatalities,60,36,59,41,52,41,60,49,43,44,65,68,618
Iowa,Bus Fatalities,0,0,0,0,0,0,0,2,1,0,1,0,4
Iowa,Large Truck Fatalities,14,12,12,10,11,6,12,19,8,11,15,18,148
Iowa,Pedalcyclist Fatalities,8,5,3,3,4,5,8,5,7,9,10,11,78
Iowa,Pedestrian Fatalities,18,25,20,20,19,25,22,23,22,21,29,30,274
Iowa,Other Nonoccupant Fatalities,2,1,0,0,6,2,4,2,0,1,1,5,24
Iowa,Other Vehicle Fatalities,8,16,14,6,15,4,8,10,14,13,15,8,131
Iowa,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Highway Fatalities,431,386,405,350,385,355,429,461,405,410,426,424,"4,867"
Kansas,Passenger Car Fatalities,171,164,141,111,136,136,151,157,136,148,127,121,"1,699"
Kansas,SUV Fatalities,55,54,60,63,58,48,64,72,64,69,75,86,768
Kansas,Pickup Truck Fatalities,101,69,75,75,86,58,72,84,67,80,68,80,915
Kansas,Van Fatalities,24,16,19,14,16,14,21,28,10,18,18,13,211
Kansas,Other Light Truck Fatalities,0,2,0,2,0,0,2,1,0,0,0,0,7
Kansas,Motorcycle Fatalities,40,45,48,35,48,44,52,56,65,41,65,47,586
Kansas,Bus Fatalities,1,2,0,1,0,0,0,0,0,0,0,0,4
Kansas,Large Truck Fatalities,12,7,22,12,4,16,16,15,22,19,12,18,175
Kansas,Pedalcyclist Fatalities,1,2,7,6,7,3,5,5,5,8,4,4,57
Kansas,Pedestrian Fatalities,15,14,26,25,23,24,41,33,28,16,46,43,334
Kansas,Other Nonoccupant Fatalities,5,1,3,1,2,2,3,1,3,4,6,2,33
Kansas,Other Vehicle Fatalities,8,10,4,5,7,11,5,9,7,9,11,10,96
Kansas,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Highway Fatalities,760,720,746,638,672,761,834,782,724,732,780,806,"8,955"
Kentucky,Passenger Car Fatalities,297,307,281,269,278,314,353,326,288,306,285,281,"3,585"
Kentucky,SUV Fatalities,83,79,79,84,84,99,88,90,89,94,140,138,"1,147"
Kentucky,Pickup Truck Fatalities,132,136,147,92,115,120,115,126,116,103,90,117,"1,409"
Kentucky,Van Fatalities,45,22,33,20,21,25,32,32,21,23,26,17,317
Kentucky,Other Light Truck Fatalities,0,0,1,0,0,0,0,1,0,0,0,0,2
Kentucky,Motorcycle Fatalities,96,71,106,87,86,91,111,90,95,92,89,105,"1,119"
Kentucky,Bus Fatalities,0,1,3,0,0,0,0,0,0,0,0,0,4
Kentucky,Large Truck Fatalities,9,18,17,10,9,9,17,10,17,14,21,32,183
Kentucky,Pedalcyclist Fatalities,7,2,6,3,4,7,9,7,10,5,5,10,75
Kentucky,Pedestrian Fatalities,61,50,49,55,57,67,81,83,73,73,91,75,815
Kentucky,Other Nonoccupant Fatalities,0,5,6,1,1,4,4,5,4,3,4,1,38
Kentucky,Other Vehicle Fatalities,30,29,19,15,17,24,23,15,12,19,28,30,261
Kentucky,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,Highway Fatalities,721,680,723,703,740,752,757,770,771,727,828,972,"9,144"
Louisiana,Passenger Car Fatalities,233,226,235,243,258,259,254,258,242,238,252,293,"2,991"
Louisiana,SUV Fatalities,109,73,78,86,87,72,74,75,80,84,108,139,"1,065"
Louisiana,Pickup Truck Fatalities,160,156,135,137,150,145,137,145,128,121,160,185,"1,759"
Louisiana,Van Fatalities,20,17,12,10,8,16,17,14,16,13,13,11,167
Louisiana,Other Light Truck Fatalities,0,1,1,0,0,4,4,0,2,2,0,0,14
Louisiana,Motorcycle Fatalities,74,80,78,86,83,91,94,97,79,87,75,83,"1,007"
Louisiana,Bus Fatalities,1,0,0,0,0,0,0,0,1,1,1,0,4
Louisiana,Large Truck Fatalities,22,11,22,13,20,7,12,30,17,20,12,23,209
Louisiana,Pedalcyclist Fatalities,11,18,24,14,13,34,22,23,29,22,34,34,278
Louisiana,Pedestrian Fatalities,77,90,119,97,105,106,127,115,164,118,144,184,"1,446"
Louisiana,Other Nonoccupant Fatalities,3,3,4,1,7,2,1,7,3,3,8,5,47
Louisiana,Other Vehicle Fatalities,12,5,13,15,10,16,14,11,11,15,25,18,165
Louisiana,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,Highway Fatalities,161,136,164,144,131,156,160,173,136,157,164,153,"1,835"
Maine,Passenger Car Fatalities,76,72,82,55,50,62,59,63,53,53,52,39,716
Maine,SUV Fatalities,16,14,11,23,29,18,21,24,24,28,32,36,276
Maine,Pickup Truck Fatalities,23,11,25,21,16,13,31,23,17,19,27,25,251
Maine,Van Fatalities,7,5,6,12,9,7,8,4,7,3,3,7,78
Maine,Other Light Truck Fatalities,0,0,0,0,0,1,1,1,0,0,0,0,3
Maine,Motorcycle Fatalities,19,15,24,14,11,32,18,26,23,27,29,21,259
Maine,Bus Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,Large Truck Fatalities,3,3,1,0,0,0,0,5,0,4,7,2,25
Maine,Pedalcyclist Fatalities,1,0,1,4,2,0,4,2,2,2,2,2,22
Maine,Pedestrian Fatalities,12,10,9,11,9,19,17,20,6,16,9,19,157
Maine,Other Nonoccupant Fatalities,0,1,0,0,0,0,0,0,0,1,0,0,2
Maine,Other Vehicle Fatalities,4,5,5,4,5,3,1,5,4,4,2,2,44
Maine,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,Highway Fatalities,496,485,511,465,442,520,522,558,512,535,573,561,"6,180"
Maryland,Passenger Car Fatalities,206,206,225,181,174,214,192,215,197,208,208,209,"2,435"
Maryland,SUV Fatalities,39,36,47,40,48,50,47,51,57,60,69,78,622
Maryland,Pickup Truck Fatalities,36,31,39,39,24,42,32,39,36,32,38,30,418
Maryland,Van Fatalities,17,14,8,19,8,11,19,12,8,9,8,17,150
Maryland,Other Light Truck Fatalities,0,0,0,0,1,0,0,3,0,0,0,0,4
Maryland,Motorcycle Fatalities,82,76,78,62,69,75,76,87,62,77,83,77,904
Maryland,Bus Fatalities,1,0,0,0,0,0,6,0,0,0,0,0,7
Maryland,Large Truck Fatalities,3,8,7,5,7,10,13,14,9,10,5,5,96
Maryland,Pedalcyclist Fatalities,8,5,5,6,5,11,16,11,6,10,15,6,104
Maryland,Pedestrian Fatalities,102,102,97,108,101,97,108,117,131,124,134,129,"1,350"
Maryland,Other Nonoccupant Fatalities,1,3,1,3,2,2,3,4,2,2,4,1,28
Maryland,Other Vehicle Fatalities,1,3,4,2,2,8,9,6,3,3,9,7,57
Maryland,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,Highway Fatalities,347,374,383,351,354,344,387,347,355,336,343,417,"4,338"
Massachusetts,Passenger Car Fatalities,135,178,161,152,161,131,166,119,135,118,128,141,"1,725"
